Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,49.48,Eijsden grens,561.1,1/10,t.o.v. NAP
,46.77,Sint Pieter noord,8805.2,1/10,t.o.v. NAP
,45.21,Borgharen Julianakanaal,12740.5,1/10,t.o.v. NAP
,43.8,Borgharen Dorp,13967.8,1/10,t.o.v. NAP
,43.31,Lanaken,16309.7,1/10,t.o.v. NAP
,41.2,Uikhoven,22780.7,1/10,t.o.v. NAP
,39.61,Elsloo,27347.2,1/10,t.o.v. NAP
,35.93,Eisden Mazenhove,32756.1,1/10,t.o.v. NAP
,32.89,Meeswijk veer,36949.9,1/10,t.o.v. NAP
,31.7,Negenoord-Oost,40483.0,1/10,t.o.v. NAP
,31.3,Rotem Maas,42969.1,1/10,t.o.v. NAP
,28.91,Maaseik,50804.8,1/10,t.o.v. NAP
,24.83,Stevensweert,59675.3,1/10,t.o.v. NAP
,22.25,Heel boven,67711.7,1/10,t.o.v. NAP
,21.04,Linne beneden,69714.7,1/10,t.o.v. NAP
,19.62,Roermond boven,78909.0,1/10,t.o.v. NAP
,19.26,Buggenum,82689.4,1/10,t.o.v. NAP
,19.1,Neer,86393.6,1/10,t.o.v. NAP
,17.88,Belfeld boven,96970.5,1/10,t.o.v. NAP
,17.62,Belfeld beneden,98910.3,1/10,t.o.v. NAP
,17.1,Venlo,103699.2,1/10,t.o.v. NAP
,14.71,Well Dorp,128130.7,1/10,t.o.v. NAP
,13.04,Sambeek boven,140921.3,1/10,t.o.v. NAP
,12.72,Sambeek beneden,143632.8,1/10,t.o.v. NAP
,11.91,Gennep,149547.2,1/10,t.o.v. NAP
,10.56,Mook,160239.1,1/10,t.o.v. NAP
