Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,47.72,Eijsden grens,561.1,Jaarlijks,t.o.v. NAP
,45.26,Sint Pieter noord,8805.2,Jaarlijks,t.o.v. NAP
,44.1,Borgharen Julianakanaal,12740.5,Jaarlijks,t.o.v. NAP
,42.19,Borgharen Dorp,13967.8,Jaarlijks,t.o.v. NAP
,41.65,Lanaken,16309.7,Jaarlijks,t.o.v. NAP
,39.7,Uikhoven,22780.7,Jaarlijks,t.o.v. NAP
,38.12,Elsloo,27347.2,Jaarlijks,t.o.v. NAP
,34.21,Eisden Mazenhove,32756.1,Jaarlijks,t.o.v. NAP
,31.91,Meeswijk veer,36949.9,Jaarlijks,t.o.v. NAP
,30.27,Negenoord-Oost,40483.0,Jaarlijks,t.o.v. NAP
,29.56,Rotem Maas,42969.1,Jaarlijks,t.o.v. NAP
,26.92,Maaseik,50804.8,Jaarlijks,t.o.v. NAP
,23.71,Stevensweert,59675.3,Jaarlijks,t.o.v. NAP
,20.93,Heel boven,67711.7,Jaarlijks,t.o.v. NAP
,19.78,Linne beneden,69714.7,Jaarlijks,t.o.v. NAP
,17.84,Roermond boven,78909.0,Jaarlijks,t.o.v. NAP
,16.92,Buggenum,82689.4,Jaarlijks,t.o.v. NAP
,16.74,Neer,86393.6,Jaarlijks,t.o.v. NAP
,15.74,Belfeld boven,96970.5,Jaarlijks,t.o.v. NAP
,15.4,Belfeld beneden,98910.3,Jaarlijks,t.o.v. NAP
,15.08,Venlo,103699.2,Jaarlijks,t.o.v. NAP
,13.27,Well Dorp,128130.7,Jaarlijks,t.o.v. NAP
,11.77,Sambeek boven,140921.3,Jaarlijks,t.o.v. NAP
,10.86,Sambeek beneden,143632.8,Jaarlijks,t.o.v. NAP
,9.94,Gennep,149547.2,Jaarlijks,t.o.v. NAP
,8.74,Mook,160239.1,Jaarlijks,t.o.v. NAP
