Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,2.08,Eijsden grens,561.1,Kruinhoogte,t.o.v. Jaarlijks
,3.38,Sint Pieter noord,8805.2,Kruinhoogte,t.o.v. Jaarlijks
,3.14,Borgharen Julianakanaal,12740.5,Kruinhoogte,t.o.v. Jaarlijks
,4.27,Borgharen Dorp,13967.8,Kruinhoogte,t.o.v. Jaarlijks
,3.7800000000000002,Lanaken,16309.7,Kruinhoogte,t.o.v. Jaarlijks
,3.7,Uikhoven,22780.7,Kruinhoogte,t.o.v. Jaarlijks
,2.68,Elsloo,27347.2,Kruinhoogte,t.o.v. Jaarlijks
,4.29,Eisden Mazenhove,32756.1,Kruinhoogte,t.o.v. Jaarlijks
,4.0,Meeswijk veer,36949.9,Kruinhoogte,t.o.v. Jaarlijks
,4.69,Negenoord-Oost,40483.0,Kruinhoogte,t.o.v. Jaarlijks
,4.08,Rotem Maas,42969.1,Kruinhoogte,t.o.v. Jaarlijks
,2.91,Maaseik,50804.8,Kruinhoogte,t.o.v. Jaarlijks
,2.58,Stevensweert,59675.3,Kruinhoogte,t.o.v. Jaarlijks
,2.96,Heel boven,67711.7,Kruinhoogte,t.o.v. Jaarlijks
,3.13,Linne beneden,69714.7,Kruinhoogte,t.o.v. Jaarlijks
,3.61,Roermond boven,78909.0,Kruinhoogte,t.o.v. Jaarlijks
,3.67,Buggenum,82689.4,Kruinhoogte,t.o.v. Jaarlijks
,4.36,Neer,86393.6,Kruinhoogte,t.o.v. Jaarlijks
,3.38,Belfeld boven,96970.5,Kruinhoogte,t.o.v. Jaarlijks
,5.08,Belfeld beneden,98910.3,Kruinhoogte,t.o.v. Jaarlijks
,4.3,Venlo,103699.2,Kruinhoogte,t.o.v. Jaarlijks
,2.25,Well Dorp,128130.7,Kruinhoogte,t.o.v. Jaarlijks
,3.23,Sambeek boven,140921.3,Kruinhoogte,t.o.v. Jaarlijks
,4.34,Sambeek beneden,143632.8,Kruinhoogte,t.o.v. Jaarlijks
,4.46,Gennep,149547.2,Kruinhoogte,t.o.v. Jaarlijks
,4.86,Mook,160239.1,Kruinhoogte,t.o.v. Jaarlijks
