Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,49.8,Eijsden grens,561.1,Kruinhoogte,t.o.v. NAP
,48.64,Sint Pieter noord,8805.2,Kruinhoogte,t.o.v. NAP
,47.24,Borgharen Julianakanaal,12740.5,Kruinhoogte,t.o.v. NAP
,46.46,Borgharen Dorp,13967.8,Kruinhoogte,t.o.v. NAP
,45.43,Lanaken,16309.7,Kruinhoogte,t.o.v. NAP
,43.4,Uikhoven,22780.7,Kruinhoogte,t.o.v. NAP
,40.8,Elsloo,27347.2,Kruinhoogte,t.o.v. NAP
,38.5,Eisden Mazenhove,32756.1,Kruinhoogte,t.o.v. NAP
,35.91,Meeswijk veer,36949.9,Kruinhoogte,t.o.v. NAP
,34.96,Negenoord-Oost,40483.0,Kruinhoogte,t.o.v. NAP
,33.64,Rotem Maas,42969.1,Kruinhoogte,t.o.v. NAP
,29.83,Maaseik,50804.8,Kruinhoogte,t.o.v. NAP
,26.29,Stevensweert,59675.3,Kruinhoogte,t.o.v. NAP
,23.89,Heel boven,67711.7,Kruinhoogte,t.o.v. NAP
,22.91,Linne beneden,69714.7,Kruinhoogte,t.o.v. NAP
,21.45,Roermond boven,78909.0,Kruinhoogte,t.o.v. NAP
,20.59,Buggenum,82689.4,Kruinhoogte,t.o.v. NAP
,21.1,Neer,86393.6,Kruinhoogte,t.o.v. NAP
,19.12,Belfeld boven,96970.5,Kruinhoogte,t.o.v. NAP
,20.48,Belfeld beneden,98910.3,Kruinhoogte,t.o.v. NAP
,19.38,Venlo,103699.2,Kruinhoogte,t.o.v. NAP
,15.52,Well Dorp,128130.7,Kruinhoogte,t.o.v. NAP
,15.0,Sambeek boven,140921.3,Kruinhoogte,t.o.v. NAP
,15.2,Sambeek beneden,143632.8,Kruinhoogte,t.o.v. NAP
,14.4,Gennep,149547.2,Kruinhoogte,t.o.v. NAP
,13.6,Mook,160239.1,Kruinhoogte,t.o.v. NAP
