Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
1626382800.0,2.92,Eijsden grens,561.1,Top,t.o.v. Jaarlijks
1626386400.0,2.84,Sint Pieter noord,8805.2,Top,t.o.v. Jaarlijks
1626388200.0,1.99,Borgharen Julianakanaal,12740.5,Top,t.o.v. Jaarlijks
1626395400.0,3.04,Borgharen Dorp,13967.8,Top,t.o.v. Jaarlijks
1626397200.0,2.91,Lanaken,16309.7,Top,t.o.v. Jaarlijks
1626402600.0,2.91,Uikhoven,22780.7,Top,t.o.v. Jaarlijks
1626399000.0,2.83,Elsloo,27347.2,Top,t.o.v. Jaarlijks
1626409800.0,3.56,Eisden Mazenhove,32756.1,Top,t.o.v. Jaarlijks
1626431400.0,2.14,Meeswijk veer,36949.9,Top,t.o.v. Jaarlijks
1626426000.0,2.54,Negenoord-Oost,40483.0,Top,t.o.v. Jaarlijks
1626426000.0,2.86,Rotem Maas,42969.1,Top,t.o.v. Jaarlijks
1626429600.0,3.25,Maaseik,50804.8,Top,t.o.v. Jaarlijks
1626445800.0,1.8599999999999999,Stevensweert,59675.3,Top,t.o.v. Jaarlijks
1626445800.0,1.85,Heel boven,67711.7,Top,t.o.v. Jaarlijks
1626480000.0,2.1,Linne beneden,69714.7,Top,t.o.v. Jaarlijks
1626498000.0,2.84,Roermond boven,78909.0,Top,t.o.v. Jaarlijks
1626521400.0,3.38,Buggenum,82689.4,Top,t.o.v. Jaarlijks
1626507000.0,3.36,Neer,86393.6,Top,t.o.v. Jaarlijks
1626523200.0,3.15,Belfeld boven,96970.5,Top,t.o.v. Jaarlijks
1626528600.0,3.05,Belfeld beneden,98910.3,Top,t.o.v. Jaarlijks
1626532200.0,2.93,Venlo,103699.2,Top,t.o.v. Jaarlijks
1626561000.0,2.21,Well Dorp,128130.7,Top,t.o.v. Jaarlijks
1626595200.0,2.0,Sambeek boven,140921.3,Top,t.o.v. Jaarlijks
1626604200.0,2.47,Sambeek beneden,143632.8,Top,t.o.v. Jaarlijks
1626625800.0,2.4,Gennep,149547.2,Top,t.o.v. Jaarlijks
1626638400.0,2.04,Mook,160239.1,Top,t.o.v. Jaarlijks
