Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
1626382800.0,50.64,Eijsden grens,561.1,Top,t.o.v. NAP
1626386400.0,48.1,Sint Pieter noord,8805.2,Top,t.o.v. NAP
1626388200.0,46.09,Borgharen Julianakanaal,12740.5,Top,t.o.v. NAP
1626395400.0,45.23,Borgharen Dorp,13967.8,Top,t.o.v. NAP
1626397200.0,44.56,Lanaken,16309.7,Top,t.o.v. NAP
1626402600.0,42.61,Uikhoven,22780.7,Top,t.o.v. NAP
1626399000.0,40.95,Elsloo,27347.2,Top,t.o.v. NAP
1626409800.0,37.77,Eisden Mazenhove,32756.1,Top,t.o.v. NAP
1626415200.0,35.67,Stein pomplocatie Ur,35200.8,Top,t.o.v. NAP
1626431400.0,34.05,Meeswijk veer,36949.9,Top,t.o.v. NAP
1626426000.0,32.81,Negenoord-Oost,40483.0,Top,t.o.v. NAP
1626426000.0,32.42,Rotem Maas,42969.1,Top,t.o.v. NAP
1626429600.0,32.27,Grevenbicht pomplocatie Kingbeek,44025.5,Top,t.o.v. NAP
1626429600.0,30.17,Maaseik,50804.8,Top,t.o.v. NAP
1626433200.0,29.15,Roosteren pomplocatie Rulbeek,52604.4,Top,t.o.v. NAP
1626445800.0,25.57,Stevensweert,59675.3,Top,t.o.v. NAP
1626445800.0,22.78,Heel boven,67711.7,Top,t.o.v. NAP
1626480000.0,21.88,Linne beneden,69714.7,Top,t.o.v. NAP
1626498000.0,20.98,Herten pomplocatie Slenk,76626.8,Top,t.o.v. NAP
1626498000.0,20.68,Roermond boven,78909.0,Top,t.o.v. NAP
1626521400.0,20.3,Buggenum,82689.4,Top,t.o.v. NAP
1626507000.0,20.1,Neer,86393.6,Top,t.o.v. NAP
1626523200.0,18.89,Belfeld boven,96970.5,Top,t.o.v. NAP
1626528600.0,18.45,Belfeld beneden,98910.3,Top,t.o.v. NAP
1626532200.0,18.01,Venlo,103699.2,Top,t.o.v. NAP
1626561000.0,15.48,Well Dorp,128130.7,Top,t.o.v. NAP
1626595200.0,13.77,Sambeek boven,140921.3,Top,t.o.v. NAP
1626604200.0,13.33,Sambeek beneden,143632.8,Top,t.o.v. NAP
1626625800.0,12.34,Gennep,149547.2,Top,t.o.v. NAP
1626638400.0,10.78,Mook,160239.1,Top,t.o.v. NAP
