Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
1626253200.0,-1.34,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626768000.0,-1.73,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626766200.0,-1.6800000000000002,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626764400.0,-1.67,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626762600.0,-1.6600000000000001,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626760800.0,-1.6600000000000001,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626759000.0,-1.6600000000000001,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626757200.0,-1.65,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626755400.0,-1.65,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626753600.0,-1.65,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626751800.0,-1.6400000000000001,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626769800.0,-1.75,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626750000.0,-1.6400000000000001,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626746400.0,-1.6400000000000001,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626744600.0,-1.65,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626742800.0,-1.65,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626741000.0,-1.65,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626739200.0,-1.6099999999999999,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626737400.0,-1.6099999999999999,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626735600.0,-1.6099999999999999,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626733800.0,-1.6,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626732000.0,-1.5899999999999999,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626730200.0,-1.5899999999999999,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626748200.0,-1.6400000000000001,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626728400.0,-1.6800000000000002,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626771600.0,-1.81,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626775200.0,-2.08,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
1626814800.0,-1.92,Eijsden grens,561.1,Verloop,t.o.v. Jaarlijks
