Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
1626253200.0,46.38,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626768000.0,45.99,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626766200.0,46.04,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626764400.0,46.05,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626762600.0,46.06,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626760800.0,46.06,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626759000.0,46.06,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626757200.0,46.07,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626755400.0,46.07,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626753600.0,46.07,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626751800.0,46.08,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626769800.0,45.97,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626750000.0,46.08,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626746400.0,46.08,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626744600.0,46.07,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626742800.0,46.07,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626741000.0,46.07,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626739200.0,46.11,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626737400.0,46.11,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626735600.0,46.11,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626733800.0,46.12,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626732000.0,46.13,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626730200.0,46.13,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626748200.0,46.08,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626728400.0,46.04,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626771600.0,45.91,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626775200.0,45.64,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626814800.0,45.8,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626813000.0,45.81,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626811200.0,45.82,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626809400.0,45.84,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626807600.0,45.84,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626805800.0,45.84,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626804000.0,45.85,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626802200.0,45.86,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626800400.0,45.85,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626798600.0,45.85,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626773400.0,45.79,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626796800.0,45.83,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626793200.0,45.74,Eijsden grens,561.1,Verloop,t.o.v. NAP
1626791400.0,45.63,Eijsden grens,561.1,Verloop,t.o.v. NAP
