name;x;y
Belfeld beneden;205929;372062
Belfeld boven;205601;370168
Borgharen Dorp;176413;320488
Borgharen Julianakanaal;177183;320780
Buggenum;197470;360278
Eijsden grens;175903;307703
Eisden Mazenhove;179494;332052
Elsloo;180900;329865
Gennep;194354;412179
Grevenbicht pomplocatie Kingbeek;181327;333447
Heel boven;192109;354025
Herten pomplocatie Slenk;182502;339995
Lanaken;175820;322235
Linne beneden;193890;352442
Maaseik;184023;345116
Meeswijk veer;181586;335265
Mook;187991;419020
Neer;198076;363635
Negenoord-Oost;181132;337893
Roermond boven;196575;358215
Roosteren pomplocatie Rulbeek;185884;344568
Rotem Maas;181955;340161
Sambeek beneden;195404;406446
Sambeek boven;197722;405052
Sint Pieter noord;176883;315739
Stein pomplocatie Ur;195144;355147
Stevensweert;186811;349145
Uikhoven;178932;326257
Venlo;209057;375900
Well Dorp;203915;395685
